2022-10-27 11:22:19 Model0, Epoch 00, Acc: 1.0000, Cos_Similarity: 0.8823, L2_dist: 0.0356
2022-10-27 11:22:39 Model0, Epoch 01, Acc: 1.0000, Cos_Similarity: 0.8701, L2_dist: 0.0568
2022-10-27 11:23:00 Model0, Epoch 02, Acc: 1.0000, Cos_Similarity: 0.8601, L2_dist: 0.0786
2022-10-27 11:23:20 Model0, Epoch 03, Acc: 0.9958, Cos_Similarity: 0.8468, L2_dist: 0.1017
2022-10-27 11:23:40 Model0, Epoch 04, Acc: 0.9916, Cos_Similarity: 0.8327, L2_dist: 0.1265
2022-10-27 11:24:00 Model0, Epoch 05, Acc: 0.9874, Cos_Similarity: 0.8171, L2_dist: 0.1521
2022-10-27 11:24:20 Model0, Epoch 06, Acc: 0.9775, Cos_Similarity: 0.8013, L2_dist: 0.1783
2022-10-27 11:24:40 Model0, Epoch 07, Acc: 0.9719, Cos_Similarity: 0.7839, L2_dist: 0.2049
2022-10-27 11:25:00 Model0, Epoch 08, Acc: 0.9607, Cos_Similarity: 0.7661, L2_dist: 0.2323
2022-10-27 11:25:20 Model0, Epoch 09, Acc: 0.9494, Cos_Similarity: 0.7478, L2_dist: 0.2597
2022-10-27 11:25:41 Model0, Epoch 10, Acc: 0.9368, Cos_Similarity: 0.7303, L2_dist: 0.2877
2022-10-27 11:26:01 Model0, Epoch 11, Acc: 0.9228, Cos_Similarity: 0.7109, L2_dist: 0.3159
2022-10-27 11:26:21 Model0, Epoch 12, Acc: 0.9115, Cos_Similarity: 0.6914, L2_dist: 0.3441
2022-10-27 11:26:41 Model0, Epoch 13, Acc: 0.8947, Cos_Similarity: 0.6756, L2_dist: 0.3718
2022-10-27 11:27:01 Model0, Epoch 14, Acc: 0.8806, Cos_Similarity: 0.6577, L2_dist: 0.3997
2022-10-27 11:27:22 Model0, Epoch 15, Acc: 0.8567, Cos_Similarity: 0.6379, L2_dist: 0.4271
2022-10-27 11:27:42 Model0, Epoch 16, Acc: 0.8483, Cos_Similarity: 0.6222, L2_dist: 0.4544
2022-10-27 11:28:02 Model0, Epoch 17, Acc: 0.8174, Cos_Similarity: 0.6049, L2_dist: 0.4816
2022-10-27 11:28:22 Model0, Epoch 18, Acc: 0.7879, Cos_Similarity: 0.5907, L2_dist: 0.5084
2022-10-27 11:28:42 Model0, Epoch 19, Acc: 0.7640, Cos_Similarity: 0.5738, L2_dist: 0.5349
2022-10-27 11:29:02 Model0, Epoch 20, Acc: 0.7556, Cos_Similarity: 0.5593, L2_dist: 0.5610
2022-10-27 11:29:22 Model0, Epoch 21, Acc: 0.7303, Cos_Similarity: 0.5445, L2_dist: 0.5868
2022-10-27 11:29:42 Model0, Epoch 22, Acc: 0.7205, Cos_Similarity: 0.5282, L2_dist: 0.6123
2022-10-27 11:30:02 Model0, Epoch 23, Acc: 0.6966, Cos_Similarity: 0.5148, L2_dist: 0.6374
2022-10-27 11:30:23 Model0, Epoch 24, Acc: 0.6798, Cos_Similarity: 0.4987, L2_dist: 0.6624
2022-10-27 11:30:43 Model0, Epoch 25, Acc: 0.6573, Cos_Similarity: 0.4880, L2_dist: 0.6868
2022-10-27 11:31:03 Model0, Epoch 26, Acc: 0.6531, Cos_Similarity: 0.4736, L2_dist: 0.7109
2022-10-27 11:31:23 Model0, Epoch 27, Acc: 0.6222, Cos_Similarity: 0.4598, L2_dist: 0.7348
2022-10-27 11:31:43 Model0, Epoch 28, Acc: 0.6025, Cos_Similarity: 0.4484, L2_dist: 0.7584
2022-10-27 11:32:03 Model0, Epoch 29, Acc: 0.5815, Cos_Similarity: 0.4356, L2_dist: 0.7816
2022-10-27 11:32:24 Model0, Epoch 30, Acc: 0.5506, Cos_Similarity: 0.4224, L2_dist: 0.8045
2022-10-27 11:32:44 Model0, Epoch 31, Acc: 0.5365, Cos_Similarity: 0.4100, L2_dist: 0.8269
