Epoch,Model1_acc,Model2_acc,Model3_acc,Model4_acc,Model5_acc,Model6_acc
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,0.995786517,0.998595506,1,0.998595506,1
4,0.995786517,0.995786517,0.997191011,0.998595506,0.995786517,1
5,0.991573034,0.991573034,0.994382022,0.995786517,0.995786517,0.997191011
6,0.987359551,0.980337079,0.987359551,0.991573034,0.992977528,0.992977528
7,0.97752809,0.981741573,0.987359551,0.988764045,0.985955056,0.991573034
8,0.971910112,0.970505618,0.973314607,0.987359551,0.971910112,0.984550562
9,0.960674157,0.962078652,0.969101124,0.97752809,0.971910112,0.974719101
10,0.949438202,0.948033708,0.956460674,0.966292135,0.953651685,0.963483146
11,0.936797753,0.936797753,0.950842697,0.952247191,0.938202247,0.950842697
12,0.924157303,0.924157303,0.938202247,0.946629213,0.926966292,0.94241573
13,0.91011236,0.914325843,0.921348315,0.935393258,0.914325843,0.924157303
14,0.894662921,0.903089888,0.901685393,0.924157303,0.904494382,0.918539326
15,0.880617978,0.882022472,0.889044944,0.917134831,0.891853933,0.89747191
16,0.858146067,0.859550562,0.865168539,0.904494382,0.879213483,0.894662921
17,0.848314607,0.842696629,0.838483146,0.89747191,0.855337079,0.879213483
,0.818820225,0.81741573,0.818820225,0.876404494,0.83988764,0.859550562
,0.786516854,0.804775281,0.80758427,0.862359551,0.811797753,0.837078652
,0.764044944,0.787921348,0.79494382,0.845505618,0.797752809,0.816011236
,0.754213483,0.761235955,0.778089888,0.828651685,0.77247191,0.797752809
,0.730337079,0.75,0.755617978,0.81741573,0.751404494,0.786516854
,0.720505618,0.734550562,0.744382022,0.804775281,0.730337079,0.769662921
,0.695224719,0.716292135,0.723314607,0.783707865,0.716292135,0.744382022
,0.676966292,0.699438202,0.70505618,0.765449438,0.693820225,0.730337079
,0.655898876,0.675561798,0.689606742,0.744382022,0.667134831,0.707865169
,0.653089888,0.654494382,0.66994382,0.734550562,0.671348315,0.69241573
,0.622191011,0.633426966,0.650280899,0.72752809,0.648876404,0.674157303
,0.603932584,0.613764045,0.632022472,0.712078652,0.640449438,0.66011236
,0.582865169,0.601123596,0.615168539,0.703651685,0.606741573,0.653089888
,0.551966292,0.585674157,0.578651685,0.691011236,0.574438202,0.640449438
,0.537921348,0.55758427,0.558988764,0.668539326,0.553370787,0.625
,0.518258427,0.537921348,0.537921348,0.653089888,0.550561798,0.603932584
,0.491573034,0.521067416,0.521067416,0.641853933,0.516853933,0.587078652
,0.484550562,0.511235955,0.5,0.615168539,0.5,0.566011236
,0.470505618,0.484550562,0.492977528,0.603932584,0.47752809,0.551966292
,0.448033708,0.463483146,0.470505618,0.595505618,0.474719101,0.525280899
,0.438202247,0.448033708,0.448033708,0.578651685,0.462078652,0.519662921
,0.421348315,0.43258427,0.438202247,0.568820225,0.436797753,0.490168539
